CUST_ID,로그인 ID,캠페인 ID,캠페인 이름,광고그룹 ID,광고그룹 이름,광고그룹 유형,소재 ID,기본상품명,노출상품명,소재 상태,대표이미지 URL,상태,상품가격,상품 가격(모바일),네이버쇼핑 카테고리,PC 랜딩 URL,네이버쇼핑 상품 ID,쇼핑몰 상품 ID,입찰가 유형,입찰가,품질지수,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환율(%),전환매출액(원),광고수익률(%),전환당비용(원),제한 사유
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000138287053,네일아트 네일샵 led 조명간판,네일샵 영업중 오픈간판 개업선물,on,https://shopping-phinf.pstatic.net/main_8242948/82429480272.jpg,노출가능,99000.0,99000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/4884956801,82429480272.0,4884956801.0,소재,190.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000141199728,LED 오픈사인 영업중 조명간판 아크릴채널 캠핑포인트문패 홈바네온 개업선물,OPEN 오픈 영업중 나래바네온사인 캠핑문패,on,https://shopping-phinf.pstatic.net/main_8260177/82601775910.3.jpg,노출가능,89000.0,89000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5057254533,82601775910.0,5057254533.0,소재,490.0,4.0,1613.0,9.0,0.56,374.0,3366.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138287063,야자수 그린/브라운 네온조명 루미사인 게스트하우스 숙박업 썸머비치 서핑존 해변 식물LED,야자수 서핑존 나래바네온사인 캠핑문패,on,https://shopping-phinf.pstatic.net/main_8308770/83087704943.jpg,노출가능,79000.0,79000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5543209252,83087704943.0,5543209252.0,소재,260.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138287071,블루네온 헤어샵 이니셜 루미사인 LED간판 입체글자 개업선물 전광판 바버샵 미용실 나래바,헤어샵 미용실 영업중 나래바네온사인 캠핑문패,on,https://shopping-phinf.pstatic.net/main_8242925/82429252989.6.jpg,노출가능,199000.0,199000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/4884729518,82429252989.0,4884729518.0,소재,570.0,4.0,3686.0,7.0,0.19,413.0,2893.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138287075,네일아트 네일샵 led 조명간판,네일샵 영업중 나래바네온사인 캠핑문패,on,https://shopping-phinf.pstatic.net/main_8242948/82429480272.jpg,노출가능,99000.0,99000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/4884956801,82429480272.0,4884956801.0,소재,580.0,3.0,3693.0,8.0,0.22,402.0,3212.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207097,베이커리 이쁜보조간판 LED 조명 빵집 빵나오는 시간,베이커리 현관문문패,on,https://shopping-phinf.pstatic.net/main_8323309/83233092304.jpg,노출가능,92000.0,92000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5688594406,83233092304.0,5688594406.0,소재,500.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207098,24시 영업중 오픈 잘보이는 적색 LED 개업선물 영업재개 코로나 창문간판,24시 영업중 현관문문패,on,https://shopping-phinf.pstatic.net/main_8323309/83233090154.jpg,노출가능,79000.0,79000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5688592256,83233090154.0,5688592256.0,소재,530.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207099,영문스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영문글자 아크릴스카시 현관문문패,on,https://shopping-phinf.pstatic.net/main_8323248/83232488909.jpg,노출가능,8000.0,8000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5687991038,83232488909.0,5687991038.0,소재,510.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207100,가게표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,가게표찰 3t아크릴 현관문문패,off,https://shopping-phinf.pstatic.net/main_8320073/83200730253.jpg,중지 : 소재 OFF,5000.0,5000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5656232947,83200730253.0,5656232947.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207102,정사각형 부식 간판 현판 비조명 조명,부식간판 사각현판 조명 현관문문패,on,https://shopping-phinf.pstatic.net/main_8322341/83223413055.jpg,노출가능,200000.0,200000.0,생활/건강 > 문구/사무용품 > 사무용품 > 명패,https://smartstore.naver.com/main/products/5678915479,83223413055.0,5678915479.0,소재,150.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207103,한글스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,한글 스카시 현관문문패,on,https://shopping-phinf.pstatic.net/main_8321787/83217877819.jpg,노출가능,8000.0,8000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5673380283,83217877819.0,5673380283.0,소재,510.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207104,영문표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영문표찰 아크릴스카시 현관문문패,on,https://shopping-phinf.pstatic.net/main_8321201/83212015165.jpg,노출가능,6000.0,6000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5667517742,83212015165.0,5667517742.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207105,한글표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,한글표찰 스카시 현관문문패,on,https://shopping-phinf.pstatic.net/main_8320979/83209796302.jpg,노출가능,6000.0,6000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5665298879,83209796302.0,5665298879.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141199733,LED 오픈사인 영업중 조명간판 아크릴채널 캠핑포인트문패 홈바네온 개업선물,OPEN 오픈 포인트 채널 LED아크릴,on,https://shopping-phinf.pstatic.net/main_8260177/82601775910.3.jpg,노출가능,89000.0,89000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5057254533,82601775910.0,5057254533.0,소재,470.0,4.0,609.0,9.0,1.48,341.0,3069.0,1.0,11.11,89000.0,2899.97,3069.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138286285,야자수 그린/브라운 네온조명 루미사인 게스트하우스 숙박업 썸머비치 서핑존 해변 식물LED,야자수 포인트 채널 LED아크릴 캠핑간판,off,https://shopping-phinf.pstatic.net/main_8308770/83087704943.jpg,중지 : 소재 OFF,79000.0,79000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5543209252,83087704943.0,5543209252.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138286286,꽃길만걸어요 레드/핑크 네온광원 와인바 포토존 레터링조명 벤치조명 스팟 무드풍경 복도등,꽃길 포인트 채널 LED아크릴 캠핑간판,off,https://shopping-phinf.pstatic.net/main_8308767/83087679924.jpg,중지 : 소재 OFF,119000.0,119000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5543184233,83087679924.0,5543184233.0,소재,140.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138286287,누들 블루네온사인 라멘 면전문점 칼국수 우동 편의점 야외전시 LED미니조명 걸이형 벽등,누들 포인트 채널 LED아크릴 캠핑간판,off,https://shopping-phinf.pstatic.net/main_8308582/83085820946.jpg,중지 : 소재 OFF,69000.0,69000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5541325255,83085820946.0,5541325255.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138286288,"( 일반형 ) DIY 철제간판 , 도색간판",철제구로 글자간판 현관문문패,off,https://shopping-phinf.pstatic.net/main_8307141/83071413667.jpg,중지 : 소재 OFF,35000.0,35000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5526918158,83071413667.0,5526918158.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138286289,"( 밑줄형 ) DIY 철제간판 , 도색간판",철제구로 밑줄간판 현관문문패,off,https://shopping-phinf.pstatic.net/main_8306395/83063952198.jpg,중지 : 소재 OFF,1000.0,1000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5519456740,83063952198.0,5519456740.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138286293,셀프바 주문제작 네온 이니셜 루미사인 문자조명 LED간판 나래바 무드등 차박소품 개업선물,셀프바 포인트 채널 LED아크릴 캠핑간판,off,https://shopping-phinf.pstatic.net/main_8276800/82768007365.jpg,중지 : 소재 OFF,99000.0,99000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5223485305,82768007365.0,5223485305.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138286296,네일아트 네일샵 led 조명간판,네일샵 포인트 채널 LED아크릴 캠핑간판,off,https://shopping-phinf.pstatic.net/main_8242948/82429480272.jpg,중지 : 소재 OFF,99000.0,99000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/4884956801,82429480272.0,4884956801.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138286297,블루네온 헤어샵 이니셜 루미사인 LED간판 입체글자 개업선물 전광판 바버샵 미용실 나래바,바버샵 포인트 채널 LED아크릴 캠핑간판,off,https://shopping-phinf.pstatic.net/main_8242925/82429252989.6.jpg,중지 : 소재 OFF,199000.0,199000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/4884729518,82429252989.0,4884729518.0,소재,140.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138098223,화장실 픽토그램 화장실표찰 아크릴 스카시 3T,화장실픽토그램 스카시 포인트간판,off,https://shopping-phinf.pstatic.net/main_8317103/83171035174.1.jpg,중지 : 소재 OFF,3500.0,3500.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5626538470,83171035174.0,5626538470.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138098226,카페 커피간판 오픈 개업선물 LED 네온 루미사인,카페 네온사인 포인트 채널 LED아크릴간판,off,https://shopping-phinf.pstatic.net/main_8151144/81511443942.4.jpg,중지 : 소재 OFF,89000.0,89000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/3966923717,81511443942.0,3966923717.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138098227,TAKEOUT 네온 이니셜간판 화이트 레드 테이크아웃 카페 식당 치킨 방문포장 LED조명,포장배달 포인트 채널 LED아크릴간판,off,https://searchad-phinf.pstatic.net/MjAyMTA2MTBfOSAg/MDAxNjIzMzEwMTMxMDE2.ub6xiaxcsrv-cHr1BRPkuFog2uXvFyl0RekkqdVWgBQg.7Ejw734XQB3pMKqLeKz30LY3oUcmMRqX2Elp6ppNohgg.PNG/392590-3dc724d1-ed00-4b60-a725-402add678bd6.png,중지 : 소재 OFF,59000.0,59000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5237576830,82782099241.0,5237576830.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138098228,맥주잔 수제맥주 BEER 네온문자 루미사인 주점 창문조명 LED야광 BAR 치킨집 개업,수제맥주점 포인트 채널 캠핑 LED아크릴간판,off,https://searchad-phinf.pstatic.net/MjAyMTA2MTBfMjY1/MDAxNjIzMzEwMjM0MzYy.jQOR2as21txw3K0h_RtceqyUHS24ibfPEPixm036pcMg.EOMwpUdDTELwDb3QRhx0fz61r0VtzuPPwnd5dKZ76Oog.PNG/392590-8872dddf-0682-4ce5-ac51-75e21f7a2c16.png,중지 : 소재 OFF,89000.0,89000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5229304479,82773826722.0,5229304479.0,소재,140.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785285,y,쇼핑몰상품,nad-a001-02-000000141206885,베이커리 이쁜보조간판 LED 조명 빵집 빵나오는 시간,베이커리 심플간판,on,https://shopping-phinf.pstatic.net/main_8323309/83233092304.jpg,노출가능,92000.0,92000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5688594406,83233092304.0,5688594406.0,소재,290.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785285,y,쇼핑몰상품,nad-a001-02-000000141206886,24시 영업중 오픈 잘보이는 적색 LED 개업선물 영업재개 코로나 창문간판,24시 영업중 심플간판,on,https://shopping-phinf.pstatic.net/main_8323309/83233090154.jpg,노출가능,79000.0,79000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5688592256,83233090154.0,5688592256.0,소재,280.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785285,y,쇼핑몰상품,nad-a001-02-000000141206887,영문스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영문글자 아크릴스카시 심플간판,on,https://shopping-phinf.pstatic.net/main_8323248/83232488909.jpg,노출가능,8000.0,8000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5687991038,83232488909.0,5687991038.0,소재,280.0,4.0,3.0,1.0,33.34,154.0,154.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785285,y,쇼핑몰상품,nad-a001-02-000000141206888,가게표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,가게표찰 3t아크릴 심플간판,on,https://shopping-phinf.pstatic.net/main_8320073/83200730253.jpg,노출가능,5000.0,5000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5656232947,83200730253.0,5656232947.0,소재,280.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785285,y,쇼핑몰상품,nad-a001-02-000000141206889,아크릴 도어사인 3t 아파트호실 객실표찰,객실호수 아파트호실 도어사인 심플간판,off,https://shopping-phinf.pstatic.net/main_8318399/83183990634.jpg,중지 : 소재 OFF,3500.0,3500.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5639493658,83183990634.0,5639493658.0,소재,140.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785285,y,쇼핑몰상품,nad-a001-02-000000141206891,정사각형 부식 간판 현판 비조명 조명,부식간판 사각현판 조명 심플간판,on,https://shopping-phinf.pstatic.net/main_8322341/83223413055.jpg,노출가능,200000.0,200000.0,생활/건강 > 문구/사무용품 > 사무용품 > 명패,https://smartstore.naver.com/main/products/5678915479,83223413055.0,5678915479.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785285,y,쇼핑몰상품,nad-a001-02-000000141206895,한글스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,한글 스카시 심플간판,on,https://shopping-phinf.pstatic.net/main_8321787/83217877819.jpg,노출가능,8000.0,8000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5673380283,83217877819.0,5673380283.0,소재,290.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785285,y,쇼핑몰상품,nad-a001-02-000000141206896,영문표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영문표찰 아크릴스카시 심플간판,on,https://shopping-phinf.pstatic.net/main_8321201/83212015165.jpg,노출가능,6000.0,6000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5667517742,83212015165.0,5667517742.0,소재,280.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785285,y,쇼핑몰상품,nad-a001-02-000000141206897,한글표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,한글표찰 스카시 심플간판,on,https://shopping-phinf.pstatic.net/main_8320979/83209796302.jpg,노출가능,6000.0,6000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5665298879,83209796302.0,5665298879.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785285,y,쇼핑몰상품,nad-a001-02-000000138098229,화장실 픽토그램 화장실표찰 아크릴 스카시 3T,스카시 화장실픽토그램 아크릴글자 입체글씨,off,https://shopping-phinf.pstatic.net/main_8317103/83171035174.1.jpg,중지 : 소재 OFF,3500.0,3500.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5626538470,83171035174.0,5626538470.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785285,y,쇼핑몰상품,nad-a001-02-000000138098234,맥주잔 수제맥주 BEER 네온문자 루미사인 주점 창문조명 LED야광 BAR 치킨집 개업,수제맥주점 영업중간판,on,https://searchad-phinf.pstatic.net/MjAyMTA2MTBfMjY1/MDAxNjIzMzEwMjM0MzYy.jQOR2as21txw3K0h_RtceqyUHS24ibfPEPixm036pcMg.EOMwpUdDTELwDb3QRhx0fz61r0VtzuPPwnd5dKZ76Oog.PNG/392590-8872dddf-0682-4ce5-ac51-75e21f7a2c16.png,노출가능,89000.0,89000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5229304479,82773826722.0,5229304479.0,소재,140.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785285,y,쇼핑몰상품,nad-a001-02-000000141199723,LED 오픈사인 영업중 조명간판 아크릴채널 캠핑포인트문패 홈바네온 개업선물,OPEN 오픈LED 영업중간판,on,https://shopping-phinf.pstatic.net/main_8260177/82601775910.3.jpg,노출가능,89000.0,89000.0,가구/인테리어 > 인테리어소품 > 디자인문패,https://smartstore.naver.com/main/products/5057254533,82601775910.0,5057254533.0,소재,220.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
