광고다운로드에서는 기본입찰가는 표시되지 않습니다.
CUST_ID,로그인 ID,캠페인 ID,캠페인 이름,광고그룹 ID,광고그룹 이름,광고그룹 유형,소재 ID,기본상품명,노출상품명,카테고리,쇼핑몰 상품ID,소재 입찰가,소재 상태
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000009335164,a,쇼핑몰상품,nad-a001-02-000000138286772,블루네온 헤어샵 이니셜 루미사인 LED간판 입체글자 개업선물 전광판 바버샵 미용실 나래바,헤어샵 미용실 영업중 창문간판 사이드후광LED,가구/인테리어/인테리어소품/디자인문패,4884729518,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000009335164,a,쇼핑몰상품,nad-a001-02-000000140009121,가게표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,가게픽토그램 벽면꾸미기 도어사인,가구/인테리어/인테리어소품/디자인문패,5656232947,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000009335164,a,쇼핑몰상품,nad-a001-02-000000140009122,아크릴 도어사인 3t 아파트호실 객실표찰,숙박호실 포인트 로고간판 카페 흡연 창고,가구/인테리어/인테리어소품/디자인문패,5639493658,280,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000009335164,a,쇼핑몰상품,nad-a001-02-000000140009123,영문표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영어표찰 카페 흡연 창고 벽면꾸미기 도어사인,가구/인테리어/인테리어소품/디자인문패,5667517742,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000009335164,a,쇼핑몰상품,nad-a001-02-000000140009124,한글표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,한글표찰 카페 흡연 창고 벽면꾸미기 도어사인,가구/인테리어/인테리어소품/디자인문패,5665298879,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000009335164,a,쇼핑몰상품,nad-a001-02-000000137580743,맥주잔 수제맥주 BEER 네온문자 루미사인 주점 창문조명 LED야광 BAR 치킨집 개업,수제맥주점 영업중 창문작은간판 사이드후광LED,가구/인테리어/인테리어소품/디자인문패,5229304479,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000141207079,가게표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,가게표찰 3t아크릴 감성간판,가구/인테리어/인테리어소품/디자인문패,5656232947,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000141207080,아크릴 도어사인 3t 아파트호실 객실표찰,객실호수 아파트호실 도어사인 감성간판,가구/인테리어/인테리어소품/디자인문패,5639493658,310,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000141207081,정사각형 부식 간판 현판 비조명 조명,부식간판 사각현판 조명 감성간판,생활/건강/문구/사무용품/사무용품/명패,5678915479,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000141207082,한글스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,한글 스카시 감성간판,가구/인테리어/인테리어소품/디자인문패,5673380283,310,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000141207083,영문표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영문표찰 아크릴스카시 감성간판,가구/인테리어/인테리어소품/디자인문패,5667517742,350,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000141207084,한글표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,한글표찰 스카시 감성간판,가구/인테리어/인테리어소품/디자인문패,5665298879,290,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000141207076,베이커리 이쁜보조간판 LED 조명 빵집 빵나오는 시간,베이커리 감성간판,가구/인테리어/인테리어소품/디자인문패,5688594406,330,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000141207077,24시 영업중 오픈 잘보이는 적색 LED 개업선물 영업재개 코로나 창문간판,24시 영업중 감성간판,가구/인테리어/인테리어소품/디자인문패,5688592256,330,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000141207078,영문스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영문글자 아크릴스카시 감성간판,가구/인테리어/인테리어소품/디자인문패,5687991038,350,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000141199625,LED 오픈사인 영업중 조명간판 아크릴채널 캠핑포인트문패 홈바네온 개업선물,,가구/인테리어/인테리어소품/디자인문패,5057254533,50,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000137583320,화장실 픽토그램 화장실표찰 아크릴 스카시 3T,아크릴스카시 화장실픽토그램 화장실표지판,가구/인테리어/인테리어소품/디자인문패,5626538470,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000137583321,(자동시안/견적) 3/5T 아크릴스카시 한/영/중/일 접착식 재단 미러광택 소량주문가능,아크릴소재 스카시견적 레터링 입체글씨 미러,가구/인테리어/인테리어소품/디자인문패,5554114837,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000137752673,카페 커피간판 오픈 개업선물 LED 네온 루미사인,카페 커피 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,3966923717,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000137752674,TAKEOUT 네온 이니셜간판 화이트 레드 테이크아웃 카페 식당 치킨 방문포장 LED조명,포장배달 코로나영업재개 창문장식인테리어,가구/인테리어/인테리어소품/디자인문패,5237576830,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000137752675,맥주잔 수제맥주 BEER 네온문자 루미사인 주점 창문조명 LED야광 BAR 치킨집 개업,수제맥주점 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,5229304479,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000138287041,야자수 그린/브라운 네온조명 루미사인 게스트하우스 숙박업 썸머비치 서핑존 해변 식물LED,야자수 서핑존 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,5543209252,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000138287042,꽃길만걸어요 레드/핑크 네온광원 와인바 포토존 레터링조명 벤치조명 스팟 무드풍경 복도등,꽃길만걸어요 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,5543184233,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000138287043,누들 블루네온사인 라멘 면전문점 칼국수 우동 편의점 야외전시 LED미니조명 걸이형 벽등,누들라멘 면전문점 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,5541325255,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000138287044,"( 일반형 ) DIY 철제간판 , 도색간판",,가구/인테리어/인테리어소품/디자인문패,5526918158,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000138287045,"( 밑줄형 ) DIY 철제간판 , 도색간판",,가구/인테리어/인테리어소품/디자인문패,5519456740,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000138287048,셀프바 주문제작 네온 이니셜 루미사인 문자조명 LED간판 나래바 무드등 차박소품 개업선물,셀프바 뷔페 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,5223485305,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000138287049,블루네온 헤어샵 이니셜 루미사인 LED간판 입체글자 개업선물 전광판 바버샵 미용실 나래바,헤어샵 미용실 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,4884729518,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021736136,z,쇼핑몰상품,nad-a001-02-000000138287053,네일아트 네일샵 led 조명간판,네일샵 영업중 오픈간판 개업선물,가구/인테리어/인테리어소품/디자인문패,4884956801,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000141206951,베이커리 이쁜보조간판 LED 조명 빵집 빵나오는 시간,베이커리 축하선물,가구/인테리어/인테리어소품/디자인문패,5688594406,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000141206952,24시 영업중 오픈 잘보이는 적색 LED 개업선물 영업재개 코로나 창문간판,24시 영업중 축하선물,가구/인테리어/인테리어소품/디자인문패,5688592256,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000141206953,영문스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영문글자 아크릴스카시 축하선물,가구/인테리어/인테리어소품/디자인문패,5687991038,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000141206954,누들 블루네온사인 라멘 면전문점 칼국수 우동 편의점 야외전시 LED미니조명 걸이형 벽등,면전문점 축하선물,가구/인테리어/인테리어소품/디자인문패,5541325255,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000141206955,정사각형 부식 간판 현판 비조명 조명,부식간판 사각현판 조명 축하선물,생활/건강/문구/사무용품/사무용품/명패,5678915479,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000141206956,한글스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,한글 스카시 축하선물,가구/인테리어/인테리어소품/디자인문패,5673380283,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138098205,화장실 픽토그램 화장실표찰 아크릴 스카시 3T,아크릴스카시 화장실픽토그램 표지판 아이방문패,가구/인테리어/인테리어소품/디자인문패,5626538470,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138098206,(자동시안/견적) 3/5T 아크릴스카시 한/영/중/일 접착식 재단 미러광택 소량주문가능,아크릴소재 스카시견적 아이방문패 도로명주소판,가구/인테리어/인테리어소품/디자인문패,5554114837,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138098208,카페 커피간판 오픈 개업선물 LED 네온 루미사인,카페 커피 영업중 나래바네온사인 캠핑문패,가구/인테리어/인테리어소품/디자인문패,3966923717,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138098209,TAKEOUT 네온 이니셜간판 화이트 레드 테이크아웃 카페 식당 치킨 방문포장 LED조명,포장배달 영업중 나래바네온사인 캠핑문패,가구/인테리어/인테리어소품/디자인문패,5237576830,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138098210,맥주잔 수제맥주 BEER 네온문자 루미사인 주점 창문조명 LED야광 BAR 치킨집 개업,수제맥주점 영업중 나래바네온사인 캠핑문패,가구/인테리어/인테리어소품/디자인문패,5229304479,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000141199728,LED 오픈사인 영업중 조명간판 아크릴채널 캠핑포인트문패 홈바네온 개업선물,OPEN 오픈 영업중 나래바네온사인 캠핑문패,가구/인테리어/인테리어소품/디자인문패,5057254533,330,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000140009136,가게표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,가게픽토그램,가구/인테리어/인테리어소품/디자인문패,5656232947,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000140009137,아크릴 도어사인 3t 아파트호실 객실표찰,객실호실,가구/인테리어/인테리어소품/디자인문패,5639493658,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000140009138,영문표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영문 글자표찰 카페 흡연 창고,가구/인테리어/인테리어소품/디자인문패,5667517742,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000140009139,한글표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,"한글 글자표찰 카페,흡연 창고",가구/인테리어/인테리어소품/디자인문패,5665298879,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138287063,야자수 그린/브라운 네온조명 루미사인 게스트하우스 숙박업 썸머비치 서핑존 해변 식물LED,야자수 서핑존 나래바네온사인 캠핑문패,가구/인테리어/인테리어소품/디자인문패,5543209252,200,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138287064,꽃길만걸어요 레드/핑크 네온광원 와인바 포토존 레터링조명 벤치조명 스팟 무드풍경 복도등,꽃길만걸어요 나래바네온사인 캠핑문패,가구/인테리어/인테리어소품/디자인문패,5543184233,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138287066,"( 일반형 ) DIY 철제간판 , 도색간판",철제구로 글자간판 축하선물,가구/인테리어/인테리어소품/디자인문패,5526918158,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138287067,"( 밑줄형 ) DIY 철제간판 , 도색간판",철제구로 밑줄간판 축하선물,가구/인테리어/인테리어소품/디자인문패,5519456740,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138287070,셀프바 주문제작 네온 이니셜 루미사인 문자조명 LED간판 나래바 무드등 차박소품 개업선물,-,가구/인테리어/인테리어소품/디자인문패,5223485305,240,off
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138287071,블루네온 헤어샵 이니셜 루미사인 LED간판 입체글자 개업선물 전광판 바버샵 미용실 나래바,헤어샵 미용실 영업중 나래바네온사인 캠핑문패,가구/인테리어/인테리어소품/디자인문패,4884729518,370,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785266,w,쇼핑몰상품,nad-a001-02-000000138287075,네일아트 네일샵 led 조명간판,네일샵 영업중 나래바네온사인 캠핑문패,가구/인테리어/인테리어소품/디자인문패,4884956801,370,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207097,베이커리 이쁜보조간판 LED 조명 빵집 빵나오는 시간,베이커리 현관문문패,가구/인테리어/인테리어소품/디자인문패,5688594406,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207098,24시 영업중 오픈 잘보이는 적색 LED 개업선물 영업재개 코로나 창문간판,24시 영업중 현관문문패,가구/인테리어/인테리어소품/디자인문패,5688592256,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207099,영문스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영문글자 아크릴스카시 현관문문패,가구/인테리어/인테리어소품/디자인문패,5687991038,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207100,가게표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,가게표찰 3t아크릴 현관문문패,가구/인테리어/인테리어소품/디자인문패,5656232947,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207101,아크릴 도어사인 3t 아파트호실 객실표찰,객실호수 아파트호실 도어사인 현관문문패,가구/인테리어/인테리어소품/디자인문패,5639493658,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207102,정사각형 부식 간판 현판 비조명 조명,부식간판 사각현판 조명 현관문문패,생활/건강/문구/사무용품/사무용품/명패,5678915479,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207103,한글스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,한글 스카시 현관문문패,가구/인테리어/인테리어소품/디자인문패,5673380283,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207104,영문표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,영문표찰 아크릴스카시 현관문문패,가구/인테리어/인테리어소품/디자인문패,5667517742,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141207105,한글표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,한글표찰 스카시 현관문문패,가구/인테리어/인테리어소품/디자인문패,5665298879,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000141199733,LED 오픈사인 영업중 조명간판 아크릴채널 캠핑포인트문패 홈바네온 개업선물,OPEN 오픈 포인트 채널 LED아크릴,가구/인테리어/인테리어소품/디자인문패,5057254533,290,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138286285,야자수 그린/브라운 네온조명 루미사인 게스트하우스 숙박업 썸머비치 서핑존 해변 식물LED,야자수 포인트 채널 LED아크릴 캠핑간판,가구/인테리어/인테리어소품/디자인문패,5543209252,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138286286,꽃길만걸어요 레드/핑크 네온광원 와인바 포토존 레터링조명 벤치조명 스팟 무드풍경 복도등,꽃길 포인트 채널 LED아크릴 캠핑간판,가구/인테리어/인테리어소품/디자인문패,5543184233,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138286287,누들 블루네온사인 라멘 면전문점 칼국수 우동 편의점 야외전시 LED미니조명 걸이형 벽등,누들 포인트 채널 LED아크릴 캠핑간판,가구/인테리어/인테리어소품/디자인문패,5541325255,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138286288,"( 일반형 ) DIY 철제간판 , 도색간판",철제구로 글자간판 현관문문패,가구/인테리어/인테리어소품/디자인문패,5526918158,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138286289,"( 밑줄형 ) DIY 철제간판 , 도색간판",철제구로 밑줄간판 현관문문패,가구/인테리어/인테리어소품/디자인문패,5519456740,160,on
392590,signcody,cmp-a001-02-000000001679064,스토어팜,grp-a001-02-000000021785283,v,쇼핑몰상품,nad-a001-02-000000138286293,셀프바 주문제작 네온 이니셜 루미사인 문자조명 LED간판 나래바 무드등 차박소품 개업선물,셀프바 포인트 채널 LED아크릴 캠핑간판,가구/인테리어/인테리어소품/디자인문패,5223485305,160,on
